Site,ALB.17,AUS.18,AUS.18a,AUT.70,BGR.66,BRA.53,BRA.53a,BWA.19,CAN.22,CAN.22a,CAN.22b,CAN.22c,CHE.67,CHN.64,CIV.13,COL.2,CZE.23,DEU.27,DNK.71_RA,DNK.71_RD,DNK.71_RL,ECU.14,ECU.14a,ESP.75,ETH.24,FIN.25,GEO.59,GHA.4,HRV.68,HUN.61,IND.11,IRL.69,IRN.12,ISL.28,ISR.29,ITA.30,KAZ.6,KEN.72,KHM.21,LKA.40,LUX.32,LVA.31,MDA.65,MKD.62,MLT.63,MYS.54,NGA.50,NLD.43,NOR.34,NPL.33,NZL.56,PAK.7,PER.35,POL.36,SEN.8,SGP.52,SRB.37,SVK.9,SVN.38,SWE.41,SWE.41a,TGO.44,TUR.46,TZA.15,USA.74,USA.74a,USA.74b,USA.74c,USA.74d,USA.74e,USA.74f,USA.74g,USA.74h,USA.74i,VNM.48,XK.60,ZAF.39,ZMB.49,ZMB.49b
Country,ALB,AUS,AUS,AUT,BGR,BRA,BRA,BWA,CAN,CAN,CAN,CAN,CHE,CHN,CIV,COL,CZE,DEU,DNK,DNK,DNK,ECU,ECU,ESP,ETH,FIN,GEO,GHA,HRV,HUN,IND,IRL,IRN,ISL,ISR,ITA,KAZ,KEN,KHM,LKA,LUX,LVA,MDA,MKD,MLT,MYS,NGA,NLD,NOR,NPL,NZL,PAK,PER,POL,SEN,SGP,SRB,SVK,SVN,SWE,SWE,TGO,TUR,TZA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,VNM,XK.,ZAF,ZMB,ZMB
Country Full,Albania,Australia,Australia,Austria,Bulgaria,Brasil,Brasil,Botswana,Canada,Canada,Canada,Canada,Switzerland,China,COTE DIVOIRE,Colombia,Czech Republic,Germany,Denmark,Denmark,Denmark,Ecuador ,Ecuador ,Spain,Ethiopia,Finland,Georgia,Ghana,Croatia,Hungary,India,Ireland,Iran,Iceland,Israel,Italy,Kazakhstan,Kenya,Cambodia ,Sri Lanka,Luxembourg,Latvia,Republic of Moldova,Republic of Macedonia,Malta,Malaysia,Nigeria,The Netherlands,Norway,Nepal,New Zealand,Pakistan,Peru,Poland,Senegal,Singapore,Serbia,Slovak Republic,Slovenia,Sweden,Sweden,Togo,Turkey,Tanzania,USA,USA,USA,USA  ,USA,USA  ,USA  ,USA  ,USA  ,USA  ,Vietnam,Kosovo,South Africa,Zambia,Zambia
Continent,Europe,Oceania,Oceania,Europe,Europe,South America,South America,Africa,North America,North America,North America,North America,Europe,Asia,Africa,South America,Europe,Europe,Europe,Europe,Europe,South America,South America,Europe,Africa,Europe,Asia,Africa,Europe,Europe,Asia,Europe,Middle East,Europe,Middle East,Europe,Asia,Africa,Asia,Asia,Europe,Europe,Europe,Europe,Europe,Asia,Africa,Europe,Europe,Asia,Oceania,Asia,South America,Europe,Africa,Asia,Europe,Europe,Europe,Europe,Europe,Africa,Europe,Africa,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,Asia,Europe,Africa,Africa,Africa
ampH_ampS,0.184493877,0.074911162,0,0.23798391,0.356656107,0,0.167685484,0,0.10689862,0.312597949,0,0.140068126,0,0,0,0,0.087099048,0,0.515279866,0.186941382,0.423775417,0.060710632,0,0.274295444,0,0.207208321,0.349888698,0,0.212320346,0,0.081635975,0.500534777,0.245755939,0.564107213,0,0.161070883,0.098457957,0,0,0,0.238567654,0,0.172193011,0.221919098,1.070831631,0,0.138430487,0.783337827,0.235608015,0.113312436,0.051117796,0.475417722,0.130168858,0.163875052,0,0,0.163602092,0.357221588,0.15930114,0.089568822,0,10.39150811,0.40705775,1.198178474,0.403228567,0,0.189055295,0,0.349249979,0.064029829,0,0.158025618,0.999910848,0,3.319176382,0.146898865,0.188972304,0.372080959,0.230247406
ant(3'')-Ih-aac(6')-IId,10.18453583,11.03557946,7.311113075,10.65143569,17.37831383,18.32587331,17.19534501,31.78750923,3.379943403,5.823154515,4.118297492,3.98143361,17.48790158,23.89249009,23.05429692,2.816490164,9.066804438,14.47470397,16.51712351,14.47068789,17.10439869,7.420185326,63.72524124,27.17343238,45.0674871,10.59356523,1.811960338,14.48366593,24.48984276,21.45909512,10.70791129,7.797427501,38.46328022,8.734565,28.42813765,15.02259552,14.22110445,14.95303945,12.87805979,0.866114497,43.7671208,18.02147425,8.621298444,25.55678083,17.86476996,15.31941043,33.61139755,3.727274307,9.925333221,4.60996302,0.317411791,19.90977985,64.52350835,13.63946722,4.788061095,24.47299639,18.66354746,17.22202433,7.847481478,9.397210236,4.755903559,10.53350424,7.56219442,29.69762159,3.684772832,2.090151549,9.821346906,13.77162982,3.931598292,11.27197889,14.36133476,15.31409235,8.52120323,30.3049264,4.821914299,30.2346526,36.54667357,30.90149773,23.635848
ant(4')-IIb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257542064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant(6)-Ia,0.040339008,0.065516363,1.452643047,0.260172179,0.133682982,0.400905376,0.146655621,0.482218021,0.280476578,0,1.207298436,0.490007305,0.176696853,0.928569946,0.749534087,0.822311729,0.076175735,0.397000317,0.54078877,0.490489765,1.111885996,0,0.925310525,0.911602352,0.698070071,4.258712274,0,1.923560474,0.185692712,0,2.0705362,0.194560639,0.214935062,0.061670137,0,0.422611722,7.233247894,1.845355048,1.416108634,0.083205724,0.208648279,1.29097061,0.564741929,0.582262979,0.771264871,2.884218804,1.089626113,0.274038976,0.206059815,9.71196027,0,1.871074698,0.910752405,3.296430499,0.135911138,2.49252885,0.858506026,0.416562028,1.114582234,0.783357686,0.52320931,26.86970529,0.0593346,0.661839073,0.352658648,1.341973777,1.074745036,1.042992427,1.272706882,1.063994022,0.478187282,1.520279457,0.874509488,0.316450292,0.0978509,0.192713858,2.809637714,0.569480346,0.223746104
ant(6)-Ib,0.085473562,0.069410692,0.133825127,0.33076435,0.188838898,0,0.310745827,0,0.792395368,0.579289905,0.79509193,1.427617437,0,1.967529325,1.389651921,0,0.242110991,1.472093833,0.381955705,0.692859668,0.523545387,0,0,0.50830974,0.470631475,0.575981172,0,0.815159194,0,3.398121095,2.042326579,0.103062716,0.151807282,0,0,0.746219998,0.091228526,0.782017594,1.125212193,0.044075759,0.368417415,0.586159982,0.079774734,0.514060847,1.517488675,0.277787126,0.256532022,1.01614802,0,3.04477647,0.047364391,2.202547139,0.723666028,15.18422684,0,0,1.061125455,0.441322708,1.254635728,0.580944633,0.492719257,1.534977508,0,0.233726386,2.615346124,1.866035652,0.437934032,0.401813993,0.161802875,0.177985014,0.126652751,0.512478183,0.198533747,0.670520549,0,0.272225169,0.175096715,0.689520659,0.284454837
aph(2'')-Ib,0.162969591,0,0,0.525547801,0.495072643,0.080982886,0,0,0.283281344,0,0.032955984,0,0.178463821,0.234463911,0,0,0.076937493,0,0,0,0.249556635,0.053627725,0.700922723,0.145376586,0,0.274551025,0,0,0.375099278,0,0.216335334,0,0.144722942,0,0.24136314,0,0,0,0,0,0,0.55880585,0.152103826,0.735107011,0.166923754,0,0,0,0,0,0,0.419952321,0.229964982,0,0,0,3.685137116,0.315545736,0.98501205,0.079119126,0,0,0,0,0,0.084712095,0,0,0.154252074,0.226238729,0.241484578,0.209383943,0.063089613,0,0,0.778563985,0,0,0.045196713
aph(2'')-Ic,0.238880509,0.064662729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097956919,0,0,0.121933209,0,0,1.515325973,0,0,0,0,0,0,0,0.096012824,0,0,0,0,0,0,0,0,0,0,0.037158915,0,0.054372558,0,0,0,0,0,0,0,0.11236074,0,0,0,0,0,0.068753749,0,0,0,0,0,0,0.993366583,0.081595526,0,0,0,0,0.068203239,0,2.654780872,0,0,0,0,0
