,Country,AMR (FPKM),Region,Country_Code,Country_wb,Life_Expectancy,GDP_per_capita,Sanitation,Health_Expenditure
0,Albania,1188.71596,Europe,ALB,ALB,78.01446341,11.42462832,95.1,614.5359461
1,Australia,776.0641870500001,Oceania,AUS,AUS,82.45121951,44.414029479999996,100.0,4357.260783
2,Austria,574.5772456,Europe,AUT,AUT,81.84390244,44.14370016,100.0,5038.881645
3,Botswana,2344.678594,Africa,BWA,BWA,64.48741463,15.51344193,96.2,870.83699
4,Brasil,3166.7732995,South America,BRA,BRA,74.67587805,14.02369162,98.1,1318.17208
5,Bulgaria,640.394533,Europe,BGR,BGR,74.46585366,17.70907519,99.4,1398.878488
6,COTE DIVOIRE,2816.346526,Africa,CIV,CIV,51.9197561,3.4481440130000003,81.9,187.0199205
7,Cambodia,2873.892294,Asia,KHM,KHM,68.65614634,3.462840949,75.5,183.2312281
8,Canada,834.4227175,North America,CAN,CAN,82.13763415,43.08775737,99.8,4640.946497
9,China,1381.086904,Asia,CHN,CHN,75.98634146,14.400886060000001,95.5,730.5178031
10,Colombia,789.5599601,South America,COL,COL,74.18202439,13.12432484,91.4,961.8879703
11,Croatia,877.9384364,Europe,HRV,HRV,77.27560976,21.408551510000002,99.6,1652.122294
12,Czech Republic,936.6166793,Europe,CZE,CZE,79.47317073,31.07174837,100.0,2146.320883
13,Denmark,566.5290573999999,Europe,DNK,DNK,81.1,45.68648453,100.0,4782.059514
14,Ecuador,1266.46640105,South America,ECU,ECU,76.10292683,10.462441329999999,86.9,1039.756586
15,Ethiopia,979.4697729,Africa,ETH,ETH,64.57804878,1.608293476,57.3,72.96435215
16,Finland,839.0357734,Europe,FIN,FIN,81.38536585,39.422646979999996,100.0,3701.141127
17,Georgia,222.8441894,Asia,GEO,GEO,74.81741463,9.267299004,100.0,627.7407641
18,Germany,690.1292189,Europe,DEU,DEU,81.0902439,44.07239216,100.0,5182.114049
19,Ghana,3560.096165,Africa,GHA,GHA,61.49173171,3.980202106,88.7,145.3681314
20,Hungary,792.6016248,Europe,HUN,HUN,75.96097561,25.38128792,100.0,1826.675065
21,Iceland,589.5619767,Europe,ISL,ISL,82.86097561,45.27644855,100.0,3881.703732
22,India,1419.528042,Asia,IND,IND,68.34856098,6.0926480970000005,94.1,267.408625
23,Iran,1547.616361,Middle East,IRN,IRN,75.59134146,16.01011144,96.2,1081.671505
24,Ireland,574.4646353,Europe,IRL,IRL,81.50243902,62.82833917,97.9,3801.06423
25,Israel,1156.284408,Middle East,ISR,ISR,82.05121951,32.61268858,100.0,2599.132254
26,Italy,698.2371786,Europe,ITA,ITA,83.4902439,34.62012936,100.0,3238.889001
27,Kazakhstan,1048.158328,Asia,KAZ,KAZ,72.0,23.41990558,92.9,1068.062124
28,Kenya,1923.0644,Africa,KEN,KEN,62.13373171,2.925600917,63.2,168.9817873
29,Kosovo,1862.830642,Europe,XKX,XKX,71.34634146,9.331687718,94.55032396,705.8198349
30,Latvia,809.5292471,Europe,LVA,LVA,74.12439024,23.712090779999997,99.3,940.3024392
31,Luxembourg,877.6960966,Europe,LUX,LUX,82.22926829,97.01866364,100.0,6812.080348
32,Malaysia,860.1355907,Asia,MYS,MYS,74.87517073,25.66045985,98.2,1040.232793
33,Malta,1007.717576,Europe,MLT,MLT,81.94634146,35.69404006,100.0,3071.627651
34,Nepal,1519.900389,Asia,NPL,NPL,69.97334146,2.287723265,91.6,137.3973226
35,New Zealand,36.29393583,Oceania,NZL,NZL,81.45682927,35.269096149999996,100.0,4018.307819
36,Nigeria,2956.09656,Africa,NGA,NGA,53.04887805,5.438922711,68.5,216.8711705
37,Norway,348.0348864,Europe,NOR,NOR,82.1,63.81078643,100.0,6346.615463
